,accuracy,accuracy_diff,accuracy_ratio,balanced_accuracy,balanced_accuracy_diff,balanced_accuracy_ratio,brier_score_loss,ece,ece_quantile,equalized_odds_diff,equalized_odds_ratio,fnr,fnr_diff,fnr_ratio,fpr,fpr_diff,fpr_ratio,log_loss,model_name,n_negatives,n_positives,n_samples,ppr,ppr_diff,ppr_ratio,precision,precision_diff,precision_ratio,predictions_path,roc_auc,threshold,tnr,tnr_diff,tnr_ratio,tpr,tpr_diff,tpr_ratio,config_batch_size,config_chat_prompt,config_context_size,config_correct_order_bias,config_dataset_hash,config_dataset_name,config_direct_risk_prompting,config_feature_subset,config_few_shot,config_model_hash,config_model_name,config_population_filter,config_reuse_few_shot_examples,config_seed,config_task_hash,config_task_name,base_name,name,is_inst,num_features,uses_all_features,fit_thresh_on_100,fit_thresh_accuracy,optimal_thresh,optimal_thresh_accuracy,score_stdev,score_mean
gemma-2-9b-it__ACSIncome__-1,0.780030039050766,0.09645948714417052,0.8886611238814628,0.7538127817291476,0.2493726872100982,0.6883853022917261,0.20317676184959776,0.19471530729362502,0.17909722882504675,0.6945076373090673,0.07500174812950143,0.34540198912351183,0.6945076373090673,0.2128913443830571,0.14697244741819288,0.19576226288887114,0.07500174812950143,0.9876164906189212,google--gemma-2-9b-it,105217,61233,166450,0.3337158305797537,0.44287498712269496,0.07806401458288656,0.7216051271895872,0.15627705627705635,0.7961603613777526,/lustre/fast/fast/groups/sf/folktexts-results/2024-07-03/model-google--gemma-2-9b-it_task-ACSIncome/google--gemma-2-9b-it_bench-1658848718/ACSIncome_full_seed-42_hash-792730230.test_predictions.csv,0.8440464274412477,0.5,0.8530275525818071,0.1957622628888711,0.8010802812580826,0.6545980108764882,0.6945076373090673,0.1448579431772709,20,False,600,False,792730230,ACSIncome_full_seed-42_hash-792730230,False,full,,1416490676,gemma-2-9b-it,,False,42,2612382143,ACSIncome,gemma-2-9b,Gemma 2 9B (it),True,-1,True,0.0851419031719532,0.7778371883448483,0.0075746456763258,0.7618924601982577,0.44779558236877265,0.3281401320902049
Meta-Llama-3-70B__ACSTravelTime__-1,0.5489244195956772,0.23109243697478993,0.6071428571428571,0.5910925582267739,0.11954745676264666,0.8049417461037978,0.24100736978804896,0.09239453563965366,,0.3178207434052758,0.046537769784172664,0.06712296803297814,0.3178207434052758,0.046537769784172664,0.7506919155134741,0.23044776119402977,0.7468852459016394,0.6748983482879627,meta-llama--Meta-Llama-3-70B,82380,64285,146665,0.830545801656837,0.26542857142857135,0.7188256658595642,0.49231602797753915,0.4377675960735171,0.19384382399250008,/lustre/fast/fast/groups/sf/folktexts-results/2024-07-03/model-meta-llama--Meta-Llama-3-70B_task-ACSTravelTime/meta-llama--Meta-Llama-3-70B_bench-2594908408/ACSTravelTime_full_seed-42_hash-3319501691.test_predictions.csv,0.6686559722261326,0.5,0.24930808448652586,0.23044776119402988,0.2798507462686567,0.9328770319670219,0.3178207434052758,0.677171348100784,20,False,600,False,3319501691,ACSTravelTime_full_seed-42_hash-3319501691,False,full,,3393345384,Meta-Llama-3-70B,,False,42,233993660,ACSTravelTime,Meta-Llama-3-70B,Llama 3 70B,False,-1,True,0.5312199807877042,0.6144819827498039,0.531058899259736,0.6081478198615894,0.04825567227514104,0.5212860561012954
Meta-Llama-3-70B-Instruct__ACSIncome__-1,0.688897566836888,0.09326036866359444,0.8766006097560975,0.7382380522094367,0.06487078555468817,0.9171612032930958,0.2650677656904633,0.26663851369453473,0.264199854373248,0.26545881082526035,0.15628060385446885,0.07504123593487172,0.2224621688249681,0.15628060385446885,0.4484826596462549,0.26545881082526035,0.48230705365241044,1.3967410529950137,meta-llama--Meta-Llama-3-70B-Instruct,105217,61233,166450,0.6237668969660559,0.3776734916735094,0.46983708117501727,0.545508832084449,0.2273138105567607,0.6225990396158463,/lustre/fast/fast/groups/sf/folktexts-results/2024-07-03/model-meta-llama--Meta-Llama-3-70B-Instruct_task-ACSIncome/meta-llama--Meta-Llama-3-70B-Instruct_bench-1876420638/ACSIncome_full_seed-42_hash-792730230.test_predictions.csv,0.8608735405382582,0.5,0.5515173403537451,0.2654588108252603,0.6473180417993228,0.9249587640651283,0.22246216882496805,0.7679770320826743,20,False,600,False,792730230,ACSIncome_full_seed-42_hash-792730230,False,full,,3864671715,Meta-Llama-3-70B-Instruct,,False,42,2612382143,ACSIncome,Meta-Llama-3-70B,Llama 3 70B (it),True,-1,True,0.97966864939342,0.7747071192550316,0.982013422818792,0.7757705016521478,0.42452027276354815,0.6254162887458745
Meta-Llama-3-70B__ACSMobility__-1,0.6664895158952556,0.23505959887718164,0.6847790507364975,0.53839574931078,0.10317890648643191,0.8182999133968424,0.24110826605786376,0.2184378067496008,,0.29397968055693435,0.340178939194436,0.18923063441990887,0.29397968055693446,0.340178939194436,0.733977866958531,0.2842356687898089,0.6751592356687899,0.6752392811598583,meta-llama--Meta-Llama-3-70B,16446,45648,62094,0.7904306374206848,0.2698334158007587,0.677698975571316,0.7540596157372507,0.14813084112149533,0.8253443526170798,/lustre/fast/fast/groups/sf/folktexts-results/2024-07-03/model-meta-llama--Meta-Llama-3-70B_task-ACSMobility/meta-llama--Meta-Llama-3-70B_bench-4188538880/ACSMobility_full_seed-42_hash-1539435113.test_predictions.csv,0.5496992117006667,0.5,0.26602213304146904,0.28423566878980894,0.3054474708171206,0.8107693655800912,0.29397968055693435,0.6535036427502073,20,False,600,False,1539435113,ACSMobility_full_seed-42_hash-1539435113,False,full,,3473937530,Meta-Llama-3-70B,,False,42,2387644647,ACSMobility,Meta-Llama-3-70B,Llama 3 70B,False,-1,True,0.5310580204778157,0.5271684864882276,0.4689630426982418,0.6665056205108384,0.03888788278723415,0.5167178445515314
Mistral-7B-v0.1__ACSIncome__-1,0.7305857614899369,0.11684940939668409,0.8591315453384419,0.7259333756368981,0.09063965809019481,0.8792726274442776,0.2310234687895735,0.19931305538075203,,0.3740962417297593,0.22354775243430705,0.29167279081541,0.37409624172975925,0.295307079532314,0.25646045791079386,0.27566009311301126,0.22354775243430705,0.6550499122334928,mistralai--Mistral-7B-v0.1,105217,61233,166450,0.4226914989486332,0.4110036571546307,0.283346057122328,0.6164702872493142,0.23509107010623298,0.6427103501825282,/lustre/fast/fast/groups/sf/folktexts-results/2024-07-03/model-mistralai--Mistral-7B-v0.1_task-ACSIncome/mistralai--Mistral-7B-v0.1_bench-1635867404/ACSIncome_full_seed-42_hash-792730230.test_predictions.csv,0.7958201720390423,0.5,0.7435395420892061,0.2756600931130112,0.7005761057565568,0.70832720918459,0.3740962417297593,0.5563543341321119,20,False,600,False,792730230,ACSIncome_full_seed-42_hash-792730230,False,full,,4148743438,Mistral-7B-v0.1,,False,42,2612382143,ACSIncome,Mistral-7B-v0.1,Mistral 7B,False,-1,True,0.5155763239875389,0.7411354761189547,0.484593837535014,0.7305677380594773,0.03620122881281667,0.48883810896072577
Meta-Llama-3-8B-Instruct__ACSMobility__-1,0.7029664701903565,0.22667025378889782,0.7339088325086852,0.5037491178151405,0.12590571089317526,0.7741226996100599,0.22182655325507675,0.15225469084430976,0.15070808648337852,0.4029335634167386,0.0,0.0726428321065545,0.288118478626725,0.0,0.9198589322631643,0.4029335634167386,0.5970664365832614,0.6786733720600652,meta-llama--Meta-Llama-3-8B-Instruct,16446,45648,62094,0.9253712113891841,0.3203389830508474,0.6796610169491526,0.7367211973546816,0.14389120784469622,0.8310842342692697,/lustre/fast/fast/groups/sf/folktexts-results/2024-07-03/model-meta-llama--Meta-Llama-3-8B-Instruct_task-ACSMobility/meta-llama--Meta-Llama-3-8B-Instruct_bench-235103349/ACSMobility_full_seed-42_hash-1539435113.test_predictions.csv,0.5576896901782972,0.5,0.0801410677368357,0.4029335634167386,0.0,0.9273571678934455,0.288118478626725,0.711881521373275,20,False,600,False,1539435113,ACSMobility_full_seed-42_hash-1539435113,False,full,,3558628484,Meta-Llama-3-8B-Instruct,,False,42,2387644647,ACSMobility,Meta-Llama-3-8B,Llama 3 8B (it),True,-1,True,0.874047657643054,0.5343672496537508,0.8740777584348836,0.5314201050020936,0.17134063778174724,0.8126319328300873
Mixtral-8x22B-Instruct-v0.1__ACSTravelTime__-1,0.590904442095933,0.351890756302521,0.6136101499423299,0.5346846414071321,0.06960161051070146,0.8806829534102261,0.3324399198109548,0.3173713249466336,0.31730878946655866,0.16010307138904262,0.0,0.9209924554717275,0.16010307138904256,0.8348142914240037,0.009638261714008254,0.03398510242085661,0.0,1.0355675546223246,mistralai--Mixtral-8x22B-Instruct-v0.1,82380,64285,146665,0.04004363685950977,0.09972196297130667,0.12364940279285877,0.8648050400136217,0.16666666666666663,0.8333333333333334,/lustre/fast/fast/groups/sf/folktexts-results/2024-07-03/model-mistralai--Mixtral-8x22B-Instruct-v0.1_task-ACSTravelTime/mistralai--Mixtral-8x22B-Instruct-v0.1_bench-3967119023/ACSTravelTime_full_seed-42_hash-3319501691.test_predictions.csv,0.6559713886761888,0.5,0.9903617382859917,0.03398510242085662,0.9660148975791434,0.07900754452827254,0.16010307138904262,0.1612032255141796,20,False,600,False,3319501691,ACSTravelTime_full_seed-42_hash-3319501691,False,full,,2530231474,Mixtral-8x22B-Instruct-v0.1,,False,42,233993660,ACSTravelTime,Mixtral-8x22B-v0.1,Mixtral 8x22B (it),True,-1,True,0.1192141898099074,0.60703644359595,0.0675126541669637,0.5879521358197253,0.14866131566809726,0.12100300953115721
Mixtral-8x22B-v0.1__ACSMobility__-1,0.735143492124843,0.14569864967520896,0.8289624547291026,0.5,0.0,1.0,0.20545412904009977,0.10893536033573346,0.10893536033573964,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6022200576376988,mistralai--Mixtral-8x22B-v0.1,16446,45648,62094,1.0,0.0,1.0,0.735143492124843,0.14569864967520896,0.8289624547291026,/lustre/fast/fast/groups/sf/folktexts-results/2024-07-03/model-mistralai--Mixtral-8x22B-v0.1_task-ACSMobility/mistralai--Mixtral-8x22B-v0.1_bench-2765951865/ACSMobility_full_seed-42_hash-1539435113.test_predictions.csv,0.5501545882841076,0.5,0.0,0.0,0.0,1.0,0.0,1.0,20,False,600,False,1539435113,ACSMobility_full_seed-42_hash-1539435113,False,full,,2987607899,Mixtral-8x22B-v0.1,,False,42,2387644647,ACSMobility,Mixtral-8x22B-v0.1,Mixtral 8x22B,False,-1,True,0.6223897911832946,0.6261152446291107,0.6511888111888112,0.43744967307630367,0.021903065574009877,0.6262081317891015
gemma-2-27b-it__ACSTravelTime__-1,0.5324446868714418,0.20819327731092435,0.7010558069381599,0.5085382745789242,0.1331600617601647,0.7454697491392032,0.3642255990474291,0.3185262610999354,0.3185262610999355,0.3448275862068966,0.572,0.6852298358870654,0.3448275862068966,0.6551724137931034,0.29769361495508617,0.16461538461538464,0.572,1.2806033618442365,google--gemma-2-27b-it,82380,64285,146665,0.30517846793713566,0.16827731092436973,0.538594470046083,0.45208784825398246,0.5233296005972378,0.0,/lustre/fast/fast/groups/sf/folktexts-results/2024-07-03/model-google--gemma-2-27b-it_task-ACSTravelTime/google--gemma-2-27b-it_bench-907325762/ACSTravelTime_full_seed-42_hash-3319501691.test_predictions.csv,0.5191504821850937,0.5,0.7023063850449138,0.1646153846153846,0.7889546351084813,0.31477016411293457,0.3448275862068966,0.0,20,False,600,False,3319501691,ACSTravelTime_full_seed-42_hash-3319501691,False,full,,3352250479,gemma-2-27b-it,,False,42,233993660,ACSTravelTime,gemma-2-27b,Gemma 2 27B (it),True,-1,True,0.0373198472824674,0.48261684791872633,0.0850704225352112,0.4994647666450755,0.3384053318435552,0.32790380417494036
Yi-34B-Chat__ACSIncome__-1,0.7233643736857915,0.11087110399213063,0.862519831049758,0.7580799212381859,0.08751671655012194,0.8908679745355297,0.19257788458936548,0.18750302832766796,0.18750302832767166,0.37861553461163466,0.08050513022888714,0.11054496758283931,0.37861553461163466,0.08050513022888714,0.37329518994078903,0.3654167739567702,0.30283523346490265,0.6034595567612404,01-ai--Yi-34B-Chat,105217,61233,166450,0.5631781315710424,0.47234107473784925,0.34602555805444263,0.5810051098238764,0.1482389500340215,0.7525468384074941,/lustre/fast/fast/groups/sf/folktexts-results/2024-07-03/model-01-ai--Yi-34B-Chat_task-ACSIncome/01-ai--Yi-34B-Chat_bench-1126901135/ACSIncome_full_seed-42_hash-792730230.test_predictions.csv,0.85604064540451,0.5,0.626704810059211,0.36541677395677025,0.5656366649193109,0.8894550324171607,0.37861553461163466,0.6084033613445379,20,False,600,False,792730230,ACSIncome_full_seed-42_hash-792730230,False,full,,2044167152,Yi-34B-Chat,,False,42,2612382143,ACSIncome,Yi-34B,Yi 34B (chat),True,-1,True,0.5621364357482813,0.7447702012616402,0.6793374966060277,0.7736857915289876,0.34289220146331817,0.5553792674385158
