,accuracy,accuracy_diff,accuracy_ratio,balanced_accuracy,balanced_accuracy_diff,balanced_accuracy_ratio,brier_score_loss,ece,ece_quantile,equalized_odds_diff,equalized_odds_ratio,fnr,fnr_diff,fnr_ratio,fpr,fpr_diff,fpr_ratio,log_loss,model_name,n_negatives,n_positives,n_samples,ppr,ppr_diff,ppr_ratio,precision,precision_diff,precision_ratio,predictions_path,roc_auc,threshold,tnr,tnr_diff,tnr_ratio,tpr,tpr_diff,tpr_ratio,config_batch_size,config_context_size,config_correct_order_bias,config_dataset_hash,config_dataset_name,config_dataset_subsampling,config_feature_subset,config_few_shot,config_model_hash,config_model_name,config_numeric_risk_prompting,config_population_filter,config_reuse_few_shot_examples,config_seed,config_task_hash,config_task_name,base_name,name,is_inst,num_features,uses_all_features,fit_thresh_on_100,fit_thresh_accuracy,optimal_thresh,optimal_thresh_accuracy,score_stdev,score_mean
penai/gpt-4o-mini__ACSTravelTime__-1__Num,0.5709064875737224,0.3152857142857143,0.6243404255319149,0.5537064879340288,0.07091486745134667,0.8763724175761249,0.2675836543799134,0.14951663109826144,,0.38256894484412474,0.1990040532715692,0.5857042856031733,0.38256894484412474,0.5409172661870504,0.30688273852876913,0.3220018621973929,0.1990040532715692,1.9489830870645797,openai/gpt-4o-mini,82380,64285,146665,0.35396311321719565,0.3876127303620442,0.18722165125042822,0.5130215356165967,0.3858513189448441,0.3413835448219403,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-29/model-gpt-4o-mini_task-ACSTravelTime/openai/gpt-4o-mini_bench-134502600/ACSTravelTime_full_seed-42_hash-206656229.test_predictions.csv,0.5799568096277382,0.5,0.6931172614712309,0.322001862197393,0.6499979758723989,0.4142957143968266,0.38256894484412474,0.30345203984172464,10,750,False,206656229,ACSTravelTime_full_seed-42_hash-206656229,,full,,1390059218,penai/gpt-4o-mini,True,,False,42,3731140739,ACSTravelTime,penai/gpt-4o-mini,GPT 4o mini (it),True,-1,True,0.25,0.5100126137797021,0.45,0.5709678519074081,0.22365249967258402,0.3841489332833327
penai/gpt-4o-mini__ACSTravelTime__-1__QA,0.5511539903862543,0.11929411764705877,0.8122222222222223,0.5889274870985929,0.11394711189902629,0.8238353145285806,0.404025494869807,0.3933266674078854,0.39330101953021324,0.27465527577937654,0.17603417266187052,0.10490783230924788,0.2746552757793765,0.17603417266187052,0.7172371934935664,0.2604562383612663,0.648248978308708,2.0752800517111147,openai/gpt-4o-mini,82380,64285,146665,0.7951931271946272,0.3426349496797805,0.5933767643865363,0.49337631937715964,0.4337194337194337,0.24776785714285712,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-29/model-gpt-4o-mini_task-ACSTravelTime/openai/gpt-4o-mini_bench-624623502/ACSTravelTime_full_seed-42_hash-969596235.test_predictions.csv,0.6485654950265006,0.5,0.2827628065064336,0.2604562383612663,0.49912261853602635,0.8950921676907522,0.27465527577937654,0.7082238675264708,10,750,False,969596235,ACSTravelTime_full_seed-42_hash-969596235,,full,,3560543746,penai/gpt-4o-mini,False,,False,42,78666164,ACSTravelTime,penai/gpt-4o-mini,GPT 4o mini (it),True,-1,True,0.9984988177744408,0.6022022977533835,0.9706877725207412,0.5933385606654621,0.36520463816211163,0.7728582906708962
penai/gpt-4o-mini__ACSIncome__-1__Num,0.7773926103935116,0.0807666044534282,0.9047480806174244,0.7589221650537946,0.23364473890015158,0.7072379743339487,0.15836666849720635,0.046963986782822646,,0.6391371465713357,0.07947382979984588,0.3109761076543694,0.6391371465713357,0.22390489344909234,0.17117956223804137,0.2020248559249639,0.07947382979984588,0.9324325918086149,openai/gpt-4o-mini,105217,61233,166450,0.36168218684289577,0.4112470382198413,0.15424258474576272,0.7008238928939238,0.33333333333333337,0.6,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-29/model-gpt-4o-mini_task-ACSIncome/openai/gpt-4o-mini_bench-1174620649/ACSIncome_full_seed-42_hash-1634456007.test_predictions.csv,0.835150166494187,0.5,0.8288204377619586,0.2020248559249639,0.7943889040290308,0.6890238923456307,0.6391371465713357,0.21636698709966629,10,750,False,1634456007,ACSIncome_full_seed-42_hash-1634456007,,full,,3967735805,penai/gpt-4o-mini,True,,False,42,127998692,ACSIncome,penai/gpt-4o-mini,GPT 4o mini (it),True,-1,True,0.65,0.7773024932412136,0.35,0.7755121658155603,0.31735888021341674,0.36374313247221385
penai/gpt-4o-mini__ACSIncome__-1__QA,0.7395133673775909,0.09057785317799039,0.8895764374178432,0.764180231878379,0.09338180838592147,0.8834786637876076,0.24102072835064922,0.23616324786276813,0.21999235588626312,0.36199294532627857,0.18712871287128713,0.14247219636470532,0.3619929453262787,0.18712871287128713,0.32916733987853675,0.2731745074997073,0.318905214448661,2.0788173635088856,openai/gpt-4o-mini,105217,61233,166450,0.5235386001802343,0.424594949706839,0.3279727414309007,0.6025613072765454,0.17094742089016662,0.7367100622000523,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-29/model-gpt-4o-mini_task-ACSIncome/openai/gpt-4o-mini_bench-670322645/ACSIncome_full_seed-42_hash-3282105456.test_predictions.csv,0.8544385728583004,0.5,0.6708326601214633,0.2731745074997073,0.6867598980670023,0.8575278036352947,0.36199294532627857,0.6050986050986051,10,750,False,3282105456,ACSIncome_full_seed-42_hash-3282105456,,full,,902411195,penai/gpt-4o-mini,False,,False,42,662640833,ACSIncome,penai/gpt-4o-mini,GPT 4o mini (it),True,-1,True,0.999876605369374,0.7812916791829378,0.9525741295330328,0.7620967257434665,0.4793733453756513,0.5207718468996805
gemma-1.1-2b-it__ACSEmployment__-1__QA,0.46287363532141984,0.23538383198647694,0.6318809244121263,0.4273715772574742,0.09164026295558542,0.8007183881551226,0.4083984786055365,0.38214289431783843,0.3763079135188462,0.2128549569837319,0.3029292688083982,0.9539253100722366,0.041848696924013384,0.9576341204157517,0.191331535412815,0.2128549569837319,0.3029292688083982,1.3681135398181201,google--gemma-1.1-2b-it,176871,146740,323611,0.12546545080358826,0.14725237991730278,0.3043146158832634,0.16651889069503964,0.17104454685099846,0.17273402674591382,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-28_2/model-google--gemma-1.1-2b-it_task-ACSEmployment/google--gemma-1.1-2b-it_bench-474690219/ACSEmployment_full_seed-42_hash-1059916037.test_predictions.csv,0.41659661155148536,0.5,0.808668464587185,0.2128549569837319,0.7654487295480831,0.04607468992776339,0.041848696924013454,0.2258301980624555,20,600,False,1059916037,ACSEmployment_full_seed-42_hash-1059916037,,full,,481110346,gemma-1.1-2b-it,False,,False,42,2214502198,ACSEmployment,gemma-2b,Gemma 2B (it),True,-1,True,0.0203297819303137,0.48205407109152654,0.0075769955191661,0.4853945014230048,0.23218304185659178,0.21656232281182022
gemma-1.1-2b-it__ACSEmployment__-1__Num,0.455315177790619,0.26364850580597327,0.4718848629246859,0.5017015790052477,0.01270474039377284,0.9751951402228213,0.2689465577498911,0.12280407650065649,,0.028391167192429068,0.0,0.00010222161646449502,0.011560693641618497,0.0,0.9964946203730403,0.028391167192429068,0.9716088328075709,0.7325764348996742,google--gemma-1.1-2b-it,176871,146740,323611,0.9980377675666154,0.017667844522968212,0.9823321554770318,0.45429072129198456,0.26284270797876336,0.4726477618426771,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-28_2/model-google--gemma-1.1-2b-it_task-ACSEmployment/google--gemma-1.1-2b-it_bench-3904765609/ACSEmployment_full_seed-42_hash-2438922321.test_predictions.csv,0.4584588225703594,0.5,0.0035053796269597618,0.028391167192429023,0.0,0.9998977783835356,0.011560693641618491,0.9884393063583815,20,600,False,2438922321,ACSEmployment_full_seed-42_hash-2438922321,,full,,3203023118,gemma-1.1-2b-it,True,,False,42,1654031068,ACSEmployment,gemma-2b,Gemma 2B (it),True,-1,True,0.65,0.4978168232847462,0.55,0.45659449153458936,0.04873927646550871,0.5762497257509788
Mistral-7B-v0.1__ACSMobility__-1__Num,0.735143492124843,0.14569864967520896,0.8289624547291026,0.5,0.0,1.0,0.264856507875157,0.2648565078751568,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.546396167704136,mistralai--Mistral-7B-v0.1,45648,16446,62094,0.0,0.0,0.0,0.0,0.0,0.0,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-28_2/model-mistralai--Mistral-7B-v0.1_task-ACSMobility/mistralai--Mistral-7B-v0.1_bench-2537954628/ACSMobility_full_seed-42_hash-3130101066.test_predictions.csv,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,20,600,False,3130101066,ACSMobility_full_seed-42_hash-3130101066,,full,,1365161361,Mistral-7B-v0.1,True,,False,42,748098781,ACSMobility,Mistral-7B-v0.1,Mistral 7B,False,-1,True,inf,0.735143492124843,inf,0.735143492124843,0.0,0.0
Mistral-7B-v0.1__ACSMobility__-1__QA,0.7315682674654556,0.14988450149605448,0.8240486286785448,0.5013025853467097,0.02010506255911576,0.9609685474585162,0.23266681106190482,0.1956309606971569,0.1956309606971387,0.05,0.0,0.9883254286756659,0.050000000000000044,0.95,0.009069400630914827,0.023983739837398373,0.0,0.6583871191363444,mistralai--Mistral-7B-v0.1,45648,16446,62094,0.00975939704319258,0.028368794326241134,0.0,0.31683168316831684,0.5,0.0,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-28_2/model-mistralai--Mistral-7B-v0.1_task-ACSMobility/mistralai--Mistral-7B-v0.1_bench-2027304253/ACSMobility_full_seed-42_hash-1600556545.test_predictions.csv,0.5266896012618211,0.5,0.9909305993690851,0.02398373983739832,0.9760162601626017,0.011674571324334184,0.05,0.0,20,600,False,1600556545,ACSMobility_full_seed-42_hash-1600556545,,full,,2526492167,Mistral-7B-v0.1,False,,False,42,3534097513,ACSMobility,Mistral-7B-v0.1,Mistral 7B,False,-1,True,0.4531502423263328,0.3370051856862177,0.4686364737224509,0.5338357973395175,0.013819133236394462,0.460487468572294
gemma-2-27b__ACSTravelTime__-1__Num,0.5393924930965125,0.258,0.656,0.5044997838191836,0.10018442271401606,0.8232039599164422,0.3880765554154024,0.34707094398799,,0.22126436781609193,0.6015252041815407,0.7783153146146068,0.22126436781609204,0.7508090614886731,0.21268511774702598,0.08735482163646308,0.6015252041815407,7.972257077477652,google--gemma-2-27b,82380,64285,146665,0.21662973442880032,0.0756370455001352,0.6617866001091958,0.4485395946116077,0.40476190476190477,0.2916666666666667,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-28_2/model-google--gemma-2-27b_task-ACSTravelTime/google--gemma-2-27b_bench-836286496/ACSTravelTime_full_seed-42_hash-206656229.test_predictions.csv,0.5035137157697265,0.5,0.787314882252974,0.08735482163646313,0.8993760915326817,0.22168468538539318,0.22126436781609193,0.33620689655172414,20,600,False,206656229,ACSTravelTime_full_seed-42_hash-206656229,,full,,4068630480,gemma-2-27b,True,,False,42,3731140739,ACSTravelTime,gemma-2-27b,Gemma 2 27B,False,-1,True,0.13,0.5146763031398084,0.21,0.5246923260491596,0.31101411220538117,0.21986404390958988
gemma-2-27b__ACSTravelTime__-1__QA,0.4894623802543211,0.03785530148314309,0.9246752381586836,0.5017372966224941,0.1750433532712014,0.729314402157936,0.3206322779364081,0.2289001189114646,0.22903294401378904,0.26371308016877637,0.38725490196078427,0.3987710974566384,0.26371308016877637,0.38725490196078427,0.5977543092983734,0.08637362637362633,0.8621052631578948,0.9038154757668243,google--gemma-2-27b,82380,64285,146665,0.5992772645143695,0.04365502871372673,0.9290258613566884,0.439739228379962,0.35189584949573316,0.30749045801526714,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-28_2/model-google--gemma-2-27b_task-ACSTravelTime/google--gemma-2-27b_bench-211958344/ACSTravelTime_full_seed-42_hash-969596235.test_predictions.csv,0.5011287683482961,0.5,0.40224569070162663,0.08637362637362639,0.8122312470138557,0.6012289025433616,0.26371308016877637,0.6835443037974683,20,600,False,969596235,ACSTravelTime_full_seed-42_hash-969596235,,full,,2913232467,gemma-2-27b,False,,False,42,78666164,ACSTravelTime,gemma-2-27b,Gemma 2 27B,False,-1,True,0.4377831997211572,0.4821941158422255,0.4072255349000351,0.4780281594109024,0.24959330560782472,0.5511076416199284
