,accuracy,accuracy_diff,accuracy_ratio,balanced_accuracy,balanced_accuracy_diff,balanced_accuracy_ratio,brier_score_loss,ece,ece_quantile,equalized_odds_diff,equalized_odds_ratio,fnr,fnr_diff,fnr_ratio,fpr,fpr_diff,fpr_ratio,log_loss,model_name,n_negatives,n_positives,n_samples,ppr,ppr_diff,ppr_ratio,precision,precision_diff,precision_ratio,predictions_path,roc_auc,threshold,tnr,tnr_diff,tnr_ratio,tpr,tpr_diff,tpr_ratio,config_batch_size,config_chat_prompt,config_context_size,config_correct_order_bias,config_dataset_hash,config_dataset_name,config_direct_risk_prompting,config_feature_subset,config_few_shot,config_model_hash,config_model_name,config_population_filter,config_reuse_few_shot_examples,config_seed,config_task_hash,config_task_name,base_name,name,is_inst,num_features,uses_all_features,fit_thresh_on_100,fit_thresh_accuracy,optimal_thresh,optimal_thresh_accuracy,score_stdev,score_mean
Mistral-7B-Instruct-v0.2__ACSPublicCoverage__-1,0.7015523284927391,0.24519280040994107,0.6799158806609138,0.5000106535321974,0.0010671529319327133,0.9978693867068333,0.2983340202233082,0.2983369783014952,0.29829505989847815,0.0017331022530329288,0.0,0.9999411262547467,0.0017331022530329143,0.9982668977469671,3.756668085852388e-05,0.00040120361083249747,0.0,3.4248928975314104,mistralai--Mistral-7B-Instruct-v0.2,79858,33971,113829,4.392553742895044e-05,0.0007633587786259542,0.0,0.4,1.0,0.0,/lustre/fast/fast/groups/sf/folktexts-results/2024-06-30/model-mistralai--Mistral-7B-Instruct-v0.2_task-ACSPublicCoverage/mistralai--Mistral-7B-Instruct-v0.2_bench-2280553757/ACSPublicCoverage_full_seed-42_hash-3076626711.test_predictions.csv,0.612959661394029,0.5,0.9999624333191415,0.0004012036108325123,0.9995987963891675,5.887374525330429e-05,0.0017331022530329288,0.0,20,False,600,False,3076626711,ACSPublicCoverage_full_seed-42_hash-3076626711,False,full,,230110258,Mistral-7B-Instruct-v0.2,,False,42,1163226111,ACSPublicCoverage,Mistral-7B-v0.1,Mistral 7B (it),True,-1,True,1.0127326782318676e-05,0.6780521659682506,1.1471867374771688e-05,0.693144980628838,0.006395286953104515,0.0001438265012969475
Meta-Llama-3-8B__ACSPublicCoverage__-1,0.2984388863997751,0.24550025621316937,0.4876516392072987,0.5,0.0,1.0,0.3778038168329986,0.411636809178595,0.41163680917861667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9692506247494851,meta-llama--Meta-Llama-3-8B,79858,33971,113829,1.0,0.0,1.0,0.2984388863997751,0.24550025621316937,0.4876516392072987,/lustre/fast/fast/groups/sf/folktexts-results/2024-06-30/model-meta-llama--Meta-Llama-3-8B_task-ACSPublicCoverage/meta-llama--Meta-Llama-3-8B_bench-348393195/ACSPublicCoverage_full_seed-42_hash-3076626711.test_predictions.csv,0.5446067165881298,0.5,0.0,0.0,0.0,1.0,0.0,1.0,20,False,600,False,3076626711,ACSPublicCoverage_full_seed-42_hash-3076626711,False,full,,1079555608,Meta-Llama-3-8B,,False,42,1163226111,ACSPublicCoverage,Meta-Llama-3-8B,Llama 3 8B,False,-1,True,0.7548374976517002,0.7003751240896432,0.7185654008438819,0.5625192174226251,0.022003866611748902,0.7100756955783881
gemma-7b__ACSMobility__-1,0.38870100170708927,0.09131789533319168,0.7856014631307674,0.5030118724595026,0.1828236980410894,0.7242658980363897,0.36969277935579964,0.4065516789478295,,0.2857142857142857,0.0,0.7400543287767263,0.12632406381278838,0.8421417069243156,0.2539219263042685,0.2857142857142857,0.0,0.9556347451011998,google--gemma-7b,16446,45648,62094,0.2583502431796953,0.074763964466769,0.7308497279196317,0.7396833312554544,0.30515463917525776,0.6948453608247422,/lustre/fast/fast/groups/sf/folktexts-results/2024-06-30/model-google--gemma-7b_task-ACSMobility/google--gemma-7b_bench-1850962239/ACSMobility_full_seed-42_hash-1539435113.test_predictions.csv,0.5038129292932005,0.5,0.7460780736957315,0.2857142857142857,0.7142857142857143,0.2599456712232737,0.12632406381278832,0.6126062043074492,20,False,600,False,1539435113,ACSMobility_full_seed-42_hash-1539435113,False,full,,2513069342,gemma-7b,,False,42,2387644647,ACSMobility,gemma-7b,Gemma 7B,False,-1,True,0.2689655172413793,0.5116275324508004,0.268992684299381,0.4577414887106645,0.10121407351494813,0.32859181317701547
Mixtral-8x7B-Instruct-v0.1__ACSPublicCoverage__-1,0.7427544826010947,0.22318734210386237,0.7081961530637373,0.637865813088433,0.1304556467896082,0.801823991002735,0.22613156099569146,0.19919553524678243,0.19922688801050675,0.28511705685618727,0.45968304914744235,0.622324924200053,0.28511705685618727,0.6455301455301455,0.10194344962308097,0.10233275584328744,0.45968304914744235,0.9910301990232157,mistralai--Mixtral-8x7B-Instruct-v0.1,79858,33971,113829,0.18423248908450396,0.19696647950077514,0.3802121445042275,0.6117972438128845,0.22172303505795876,0.6688527185996952,/lustre/fast/fast/groups/sf/folktexts-results/2024-06-30/model-mistralai--Mixtral-8x7B-Instruct-v0.1_task-ACSPublicCoverage/mistralai--Mixtral-8x7B-Instruct-v0.1_bench-894841644/ACSPublicCoverage_full_seed-42_hash-3076626711.test_predictions.csv,0.7013710004284126,0.5,0.898056550376919,0.10233275584328749,0.8879084183962233,0.377675075799947,0.28511705685618727,0.40695652173913044,20,False,600,False,3076626711,ACSPublicCoverage_full_seed-42_hash-3076626711,False,full,,4192506063,Mixtral-8x7B-Instruct-v0.1,,False,42,1163226111,ACSPublicCoverage,Mixtral-8x7B-v0.1,Mixtral 8x7B (it),True,-1,True,0.2018549529820945,0.7227947183933795,0.1644908616187989,0.7144576513893648,0.34955255949559794,0.21264960267304547
gemma-1.1-7b-it__ACSPublicCoverage__-1,0.4987481221832749,0.18507121221885675,0.6811911964697066,0.47445892392144917,0.17726262385705105,0.6965758977170079,0.34141430816720075,0.29607084314508697,,0.35282237002472405,0.4851818165840627,0.5857937652703776,0.352822370024724,0.5215564055343062,0.4652883868867239,0.3193524560227205,0.4851818165840627,1.0643154525109424,google--gemma-1.1-7b-it,79858,33971,113829,0.45004348628205465,0.2794047535646775,0.5068224819630189,0.27467400640274847,0.29884869318491847,0.4256501677852349,/lustre/fast/fast/groups/sf/folktexts-results/2024-06-30/model-google--gemma-1.1-7b-it_task-ACSPublicCoverage/google--gemma-1.1-7b-it_bench-109428263/ACSPublicCoverage_full_seed-42_hash-3076626711.test_predictions.csv,0.4609544556022782,0.5,0.5347116131132761,0.3193524560227204,0.5431501868635965,0.4142062347296223,0.35282237002472405,0.42666364870982343,20,False,600,False,3076626711,ACSPublicCoverage_full_seed-42_hash-3076626711,False,full,,3495720488,gemma-1.1-7b-it,,False,42,1163226111,ACSPublicCoverage,gemma-7b,Gemma 7B (it),True,-1,True,0.0179867466077627,0.31759920582628326,0.01798580349042,0.31642200142318744,0.3189442115209354,0.3989277757590005
gemma-2b__ACSIncome__-1,0.4457735055572244,0.20626381840070612,0.5544757686960922,0.5511362334469141,0.09647557325991707,0.8382572940369557,0.24982151148419823,0.1425473354292383,,0.38871834228702995,0.0,0.0501363643786847,0.19576719576719576,0.0,0.847591168727487,0.38871834228702995,0.61128165771297,0.6927913870103736,google--gemma-2b,105217,61233,166450,0.8852147792129769,0.3542388906397731,0.6457611093602269,0.3947429145401238,0.22930117286293616,0.4925267154438856,/lustre/fast/fast/groups/sf/folktexts-results/2024-06-30/model-google--gemma-2b_task-ACSIncome/google--gemma-2b_bench-574126702/ACSIncome_full_seed-42_hash-792730230.test_predictions.csv,0.6245887172291793,0.5,0.152408831272513,0.38871834228702995,0.0,0.9498636356213153,0.1957671957671958,0.8042328042328042,20,False,600,False,792730230,ACSIncome_full_seed-42_hash-792730230,False,full,,3736820866,gemma-2b,,False,42,2612382143,ACSIncome,gemma-2b,Gemma 2B,False,-1,True,0.5157232704402516,0.6258335836587564,0.5154272151898734,0.5774226494442776,0.016282631865857947,0.5104235745400645
gemma-1.1-2b-it__ACSTravelTime__-1,0.5616882010022841,0.40154881714808527,0.5502653247941445,0.5,0.0,1.0,0.36417403947803645,0.34174984970602384,0.34174984970602296,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.1037608685786588,google--gemma-1.1-2b-it,82380,64285,146665,0.0,0.0,0.0,0.0,0.0,0.0,/lustre/fast/fast/groups/sf/folktexts-results/2024-06-30/model-google--gemma-1.1-2b-it_task-ACSTravelTime/google--gemma-1.1-2b-it_bench-2795254/ACSTravelTime_full_seed-42_hash-3319501691.test_predictions.csv,0.4950735399986816,0.5,1.0,0.0,1.0,0.0,0.0,0.0,20,False,600,False,3319501691,ACSTravelTime_full_seed-42_hash-3319501691,False,full,,948344475,gemma-1.1-2b-it,,False,42,233993660,ACSTravelTime,gemma-2b,Gemma 2B (it),True,-1,True,0.148017129026252,0.5439198172706508,0.0675638452760398,0.4741826611666042,0.029387771628223845,0.09656194929169254
gemma-1.1-7b-it__ACSIncome__-1,0.36832682487233404,0.26860472285490883,0.3999203579395627,0.5003564062841556,0.007936507936507908,0.984375,0.5897457643174059,0.6078452009293036,0.6078452009290645,0.015873015873015928,0.0,0.0,0.0,0.0,0.9992871874316888,0.015873015873015928,0.9841269841269841,3.187461705685938,google--gemma-1.1-7b-it,105217,61233,166450,0.9995494142385101,0.012499999999999956,0.9875,0.3680420736288505,0.2688066351230593,0.399392909644472,/lustre/fast/fast/groups/sf/folktexts-results/2024-06-30/model-google--gemma-1.1-7b-it_task-ACSIncome/google--gemma-1.1-7b-it_bench-3435284492/ACSIncome_full_seed-42_hash-792730230.test_predictions.csv,0.8411609996952668,0.5,0.0007128125683112045,0.015873015873015872,0.0,1.0,0.0,1.0,20,False,600,False,792730230,ACSIncome_full_seed-42_hash-792730230,False,full,,923781164,gemma-1.1-7b-it,,False,42,2612382143,ACSIncome,gemma-7b,Gemma 7B (it),True,-1,True,0.9975192583888236,0.7039231000300391,0.9990817263544536,0.7561369780714929,0.060707720515947736,0.975721440039939
gemma-1.1-2b-it__ACSIncome__-1,0.3678762391108441,0.26881686356998147,0.39930817341763114,0.5,0.0,1.0,0.6256535905602196,0.6275633690896045,0.6275633690897001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.3937334479869232,google--gemma-1.1-2b-it,105217,61233,166450,1.0,0.0,1.0,0.3678762391108441,0.26881686356998147,0.39930817341763114,/lustre/fast/fast/groups/sf/folktexts-results/2024-06-30/model-google--gemma-1.1-2b-it_task-ACSIncome/google--gemma-1.1-2b-it_bench-4214043998/ACSIncome_full_seed-42_hash-792730230.test_predictions.csv,0.733537456584622,0.5,0.0,0.0,0.0,1.0,0.0,1.0,20,False,600,False,792730230,ACSIncome_full_seed-42_hash-792730230,False,full,,1911446196,gemma-1.1-2b-it,,False,42,2612382143,ACSIncome,gemma-2b,Gemma 2B (it),True,-1,True,0.9956704129932477,0.6289336136978072,0.996405285469916,0.6766656653649744,0.0023382070522305243,0.9954396082005392
gemma-7b__ACSPublicCoverage__-1,0.493723040701403,0.07901904962744272,0.859521689551213,0.5040641018249534,0.07566104577882737,0.8655174611350054,0.2338227271542986,0.14866879068265484,,0.16743018989302133,0.7045900243820414,0.4702834770833947,0.16743018989302133,0.7045900243820414,0.5215883192666984,0.11414239866872694,0.794019734019734,0.6606336047906904,google--gemma-7b,79858,33971,113829,0.5240140913124072,0.1130498525619944,0.796337670193659,0.30168656115879827,0.27725890529973934,0.4881374056004812,/lustre/fast/fast/groups/sf/folktexts-results/2024-06-30/model-google--gemma-7b_task-ACSPublicCoverage/google--gemma-7b_bench-1606864878/ACSPublicCoverage_full_seed-42_hash-3076626711.test_predictions.csv,0.49264673700619754,0.5,0.4784116807333016,0.114142398668727,0.796174288091559,0.5297165229166053,0.16743018989302133,0.7212553246030751,20,False,600,False,3076626711,ACSPublicCoverage_full_seed-42_hash-3076626711,False,full,,416653689,gemma-7b,,False,42,1163226111,ACSPublicCoverage,gemma-7b,Gemma 7B,False,-1,True,0.2690047393364929,0.3726291191172724,0.5,0.493723040701403,0.09802876527115777,0.4136553422244387
