,threshold,n_samples,n_positives,n_negatives,model_name,accuracy,tpr,fnr,fpr,tnr,balanced_accuracy,precision,ppr,log_loss,brier_score_loss,tpr_ratio,tpr_diff,fpr_ratio,fpr_diff,precision_ratio,precision_diff,tnr_ratio,tnr_diff,balanced_accuracy_ratio,balanced_accuracy_diff,ppr_ratio,ppr_diff,accuracy_ratio,accuracy_diff,fnr_ratio,fnr_diff,equalized_odds_ratio,equalized_odds_diff,roc_auc,ece,ece_quantile,config_task_name,config_model_name,name,num_features,uses_all_features
LR,0.5,166450,61233,105217,,0.7429077801141484,0.5927849362271977,0.40721506377280225,0.16972542459868653,0.8302745754013134,0.7115297558142556,0.6702489105546938,0.32535896665665365,0.531761869510235,0.17715245892263615,0.33772101382308,0.40976619210467297,0.25162413385042776,0.14494284794870446,0.5535984848484848,0.3628634964078002,0.8476316814222171,0.1449428479487045,0.7974264129403947,0.14635599052345327,0.24246671704673392,0.2722542387456473,0.8790058319218526,0.10092140286702622,0.48199368167899836,0.4097661921046729,0.25162413385042776,0.40976619210467297,0.7898812160357309,0.027258383142530415,0.02709318210848703,ACSIncome,LR,LR,-1,True
GBM,0.5,166450,61233,105217,,0.813301291679183,0.7274998775170252,0.2725001224829749,0.13676497143997643,0.8632350285600235,0.7953674530385244,0.7558409827442862,0.3540823069990988,0.3980519470185236,0.1286594324317283,0.21858803401600163,0.6308498537536561,0.20743837658520198,0.12129234171517095,0.7343028229255774,0.21710158434296367,0.874730860195807,0.121292341715171,0.6891998706853777,0.2581112934863721,0.1413530987884436,0.37965514577109305,0.9293062419915797,0.0608572329026158,0.23396803472770325,0.6308498537536561,0.20743837658520198,0.6308498537536561,0.8908428878276147,0.007752180991991799,0.007654383759643103,ACSIncome,GBM,GBM,-1,True
XGBoost,0.5,166450,61233,105217,,0.8173085010513668,0.7320889063086897,0.2679110936913102,0.1330963627550681,0.8669036372449319,0.7994962717768108,0.7619662768561327,0.3534514869330129,0.39046787983824216,0.12612592145575566,0.36163234045387194,0.5191880619651175,0.07764282669045229,0.13813360316381934,0.7427476737821566,0.23488255872063968,0.8602412956224887,0.13813360316381929,0.7578108317640667,0.20172100919008895,0.19642981036077706,0.35795173586071904,0.9205347000291145,0.06994411195594064,0.26448357888275015,0.5191880619651176,0.07764282669045229,0.5191880619651175,0.8949607586830929,0.004252754437272704,0.00362033528953011,ACSIncome,XGBoost,XGBoost,-1,True
LR,0.5,62094,45648,16446,,0.7356266305923278,0.9825841219768665,0.017415878023133543,0.9498358263407516,0.05016417365924845,0.5163741478180575,0.7416906439130866,0.9739105227558218,0.559244235906975,0.18671690885517594,0.9702970297029703,0.02970297029702973,0.8974358974358975,0.09999999999999998,0.8245448028673834,0.15183622828784127,0.2,0.1,0.9021411500755988,0.0539819199311235,0.9760264140109101,0.02365271581332773,0.8242368177613321,0.14972419227738376,0.0,0.0297029702970297,0.0,0.09999999999999998,0.6139100266657784,0.01576922441270409,0.023028152369194272,ACSMobility,LR,LR,-1,True
GBM,0.5,62094,45648,16446,,0.7629722678519664,0.9479276200490712,0.052072379950928845,0.750395232883376,0.2496047671166241,0.5987661935828477,0.7780874631374524,0.8956098817921216,0.5037205388522682,0.1652958757906913,0.943775010284603,0.055002707330279677,0.4528846153846154,0.4530254777070064,0.8106872686302913,0.1774806856591019,0.2751592356687898,0.4530254777070064,0.7114175694235262,0.23133645929364066,0.9208552503409312,0.07443884562528635,0.8022857142857143,0.18306878306878305,0.28327612509534705,0.05500270733027966,0.28327612509534705,0.4530254777070064,0.7385384235437018,0.006141642231434467,0.005990462616414029,ACSMobility,GBM,GBM,-1,True
XGBoost,0.5,62094,45648,16446,,0.7642767417141753,0.9430643182614792,0.05693568173852086,0.731971300012161,0.268028699987839,0.6055465091246591,0.7814729427995716,0.8871549586111379,0.5014253850339345,0.16437767611109425,0.9292526950484196,0.0691058361592004,0.6050096339113681,0.32643312101910826,0.8283066860465116,0.15708111702127658,0.3471337579617834,0.32643312101910826,0.7957881579933157,0.14649979970044746,0.9034454484988876,0.09075206811996439,0.8512698985111534,0.12945027351807015,0.251353441608662,0.06910583615920043,0.251353441608662,0.32643312101910826,0.7405113018126558,0.003979601607556477,0.004594086216877912,ACSMobility,XGBoost,XGBoost,-1,True
LR,0.5,323611,146740,176871,,0.7821087663892761,0.8169142701376585,0.18308572986234156,0.24676741806175123,0.7532325819382488,0.7850734260379537,0.733084637964775,0.5052980275701382,0.4528083018517171,0.14972661676167812,0.7940663928189212,0.17839031370361402,0.4337101178121099,0.20463010361380587,0.6657427346742226,0.24794159607469723,0.7573396545455536,0.20463010361380596,0.8795706247100649,0.09969590026951125,0.6356893141980245,0.2231766132484762,0.8866883957977044,0.09430931393329645,0.4284902912828659,0.1783903137036141,0.4284902912828659,0.20463010361380587,0.8591368042777958,0.017162264719503894,0.016679224839505926,ACSEmployment,LR,LR,-1,True
GBM,0.5,323611,146740,176871,,0.8309698990454589,0.8552405615374131,0.14475943846258688,0.18916611541745113,0.8108338845825489,0.833037223059981,0.7895140793678754,0.49119467508830045,0.3697378793194075,0.11978638319341055,0.9011035241179864,0.08663917961273859,0.4930071246553466,0.12836948431236828,0.6885433714765173,0.24785826628215157,0.8533207967395031,0.12836948431236828,0.9186230553097305,0.07072487872582633,0.6234109920348709,0.21200822457707535,0.9164273861444632,0.07277977014624992,0.5885685335298453,0.08663917961273859,0.4930071246553466,0.12836948431236828,0.9095031819645982,0.0032812434873759435,0.003338706816098961,ACSEmployment,GBM,GBM,-1,True
XGBoost,0.5,323611,146740,176871,,0.8316033756578114,0.8549747853346055,0.1450252146653946,0.18778657891909922,0.8122134210809008,0.8335941032077532,0.790676422579771,0.49032016835027237,0.36827736042229453,0.1193127903683335,0.8614599914378266,0.12188292066831041,0.5115456541411133,0.12094209934011721,0.699505512921522,0.2393381524433581,0.8615178093699479,0.12094209934011724,0.9133351363323728,0.07532520034216361,0.6037600459242252,0.2208658645846665,0.9224689665064284,0.06748029068403805,0.4965928108531548,0.12188292066831043,0.4965928108531548,0.12188292066831041,0.9101938134701651,0.0025966523952632584,0.00244234090733558,ACSEmployment,XGBoost,XGBoost,-1,True
LR,0.5,146665,64285,82380,,0.5563835952681281,0.2556117290192113,0.7443882709807886,0.20890992959456178,0.7910900704054382,0.5233508997123247,0.48843707270673564,0.22937987931681042,0.6658419264883314,0.2375960343371707,0.0,0.4033273381294964,0.29145183175033923,0.2431098696461825,0.0,0.5489596083231334,0.7298779226153528,0.24310986964618253,0.8369356485652163,0.08767574696029307,0.2388966602552894,0.2844562802248072,0.6471111111111111,0.2835714285714286,0.5966726618705036,0.4033273381294964,0.29145183175033923,0.4033273381294964,0.5808315312915147,0.042214081376216905,0.04279005285385944,ACSTravelTime,LR,LR,-1,True
