,AGEP_imp_mean,AGEP_imp_std,COW_imp_mean,COW_imp_std,MAR_imp_mean,MAR_imp_std,OCCP_imp_mean,OCCP_imp_std,POBP_imp_mean,POBP_imp_std,RAC1P_imp_mean,RAC1P_imp_std,RELP_imp_mean,RELP_imp_std,SCHL_imp_mean,SCHL_imp_std,SEX_imp_mean,SEX_imp_std,WKHP_imp_mean,WKHP_imp_std,model_name
google--gemma-2-27b,-0.00647715672070519,0.0031417246324418778,-0.004077902981934778,0.0016423646410101442,-0.003418049539593837,0.004589976584823831,0.0036305095033326907,0.006357403439962025,-0.0048568793076379626,0.00315960117652287,0.0021397349178400083,0.0021466457405560817,-0.0021881933180714743,0.005990208673424775,-0.009436137482648755,0.004272689404046076,-0.003744259696469565,0.003044382612037293,-0.0021033950052858907,0.0026523613865949533,Gemma 2 27B
google--gemma-2-27b-it,-0.0010946245977714098,0.00177801731907419,-0.002038006799415637,0.001030026965105426,-0.00033836907579665176,0.001576478950663093,0.09324130498120373,0.003699279748935945,-0.00028072189798444835,0.001262488742096849,0.0035993603404085527,0.0015324951178889463,0.005867346272326324,0.0022764341784138322,0.025513311955779817,0.0007728879458187582,0.0012463490587232284,0.0017154093430854164,0.06866120832440722,0.002769750145287859,Gemma 2 27B (it)
google--gemma-2-9b,0.009940529684121291,0.0005646357530694136,0.0026777285926518958,0.0005218054463366584,0.007598692976085375,0.0005329150246950243,0.07738737006331413,0.0012883706934158276,0.0009726450915599427,0.0002808087098880201,0.002157683279802347,0.0004373152670029188,0.006066753164646732,0.0003080447728434247,0.05461560897289963,0.0019765028781142126,0.006956826771902324,0.0002608204437005816,0.042413218690231756,0.0008049908256730641,Gemma 2 9B
google--gemma-2-9b-it,0.007000333899868339,0.0003591509888942624,0.0019806597458329467,0.00045845143324110675,0.004961526250824466,0.00027695063158321,0.15714648195933034,0.0018002921492562892,0.0007434357077296117,0.00015997747951134697,0.00030340849066059496,0.00033310143802845393,0.0007698668555613964,7.404648492939742e-05,0.029132427623720238,0.0018951396401457753,0.0017823211713664743,0.00013096249504236578,0.032190701299198834,0.0007351058331557114,Gemma 2 9B (it)
google--gemma-2b,0.030893044992634077,0.003416127487380677,0.005971781729009207,0.0015973848593186283,0.004708776553063632,0.0020575877803239444,0.033320723450544175,0.004407525899501376,0.011186494646032562,0.003455303946442185,-0.0026480520600153934,0.0028546576385061885,0.00492824356228867,0.002962524095495065,0.04776374792898739,0.002630144689723318,-0.0005946969385959733,0.0026186053077830473,0.009022305046142676,0.003113473319877162,Gemma 2B
google--gemma-1.1-2b-it,0.057287960210182697,0.0017948175484035112,0.0022394834603869374,0.0009876882467779102,0.0035615198067062703,0.0005918058511180619,0.05455881396129392,0.0014145239800545265,0.0029227092714936955,0.0007609519613683388,-0.0006921486755098405,0.00033422765318176034,0.01095145227782155,0.0004474590322881647,0.07390930345302713,0.0013464792286556535,0.003063999361559477,0.00040866378672934484,0.028130550743200877,0.0012650355536611747,Gemma 2B (it)
google--gemma-7b,0.014617581706566773,0.0017454573992528649,0.002864102629175358,0.0009162687753861507,0.014472872066340115,0.0011490361537842529,0.06998571564171599,0.0013760734497101988,0.0032557647488821615,0.0015936140490394406,0.00027965513517844707,0.0009314649428334149,-0.002177122932626041,0.0006193008251713384,0.06453559647529128,0.0010197548520178925,0.005414486800629725,0.0008352731332313162,0.03966231887735996,0.0007367667141282276,Gemma 7B
google--gemma-1.1-7b-it,0.012887866247973178,0.0005208126496453378,0.0009088445895159003,0.0006590735887269482,0.0065703009751518545,0.0004544352633302996,0.12287122039406653,0.0013918260299689564,0.0025444158979132103,0.0007376445552598605,0.0005281082358069566,0.00027453863268907865,0.00015274923746675385,0.00011527924064336704,0.04245181031203216,0.0014927365699129013,0.0028463641986689937,0.00015931950179063291,0.03771785442463356,0.0012274084035553564,Gemma 7B (it)
meta-llama--Meta-Llama-3-70B,0.005776831603747046,0.0004086064820461457,0.0012300894786958726,0.0002805518752847159,0.009401590540233684,0.0003813190192783843,0.10123585559602008,0.0009590460749631085,0.003527877902123655,0.00034460698402297455,0.0010233956322813099,0.00032970484796598194,0.0071424528304234736,0.00017385073699309383,0.024539555005027268,0.001260491988752951,0.013607705660050807,0.00047848246080231136,0.04692533767552463,0.0013753301606728861,Llama 3 70B
meta-llama--Meta-Llama-3-70B-Instruct,0.010475372832045738,0.00018514727601178,0.0022334980813198957,0.0003076098199867925,0.0049903475071588765,0.0001648199709586086,0.13559072316939158,0.0015206440959212658,0.0015414924702097156,0.00010098876597486912,0.0010537470556726048,0.00037843094012790437,0.0024096756692740364,0.00018556768291419992,0.022173611945653572,0.0014372858602078361,0.006533998383745599,0.00020616005159660074,0.04527844872907823,0.0011737059173631695,Llama 3 70B (it)
